16.5	16.5	16.5	16.5	9.25	1.25	0	0	0	0	0	0	0
16.5	16.5	16.5	16.5	9.5	1.25	0	0	0	0	0	0	0
16.5	16.5	16.5	16.5	10.25	2.25	0	0	0	0	0	0	0
16.5	16.5	16.5	16.5	12.5	6.25	2.25	0.25	0	0	0	0	0
20	20	20	20	16.75	11.5	7.25	4.75	2	0	0	0	0
23.75	23.75	23.75	23.75	20.5	14.75	9.5	7.25	4.5	2.5	0	0	0
27.5	27.5	27.5	27.5	23.75	17.5	12.25	10	7.25	5.25	0.25	0	0
32	32	32	31	26.5	20.25	15.25	12.75	10	8	3	0	0
35.25	35.25	35.25	32.25	27.5	21.75	18	15.5	12.25	10.25	5.25	0	0
36.5	36.5	36.5	31.75	26.75	22.75	21	18.5	15.25	12.25	7.25	1.25	0
36.5	36.5	36.5	30.75	26	23.75	22.75	20.75	18	16	11	5	0
36.5	36.5	36.5	30.5	26	24.75	24	22.5	20.5	18.5	13.5	7.5	2.5
36.5	36.5	36.5	31.5	27.5	26.5	24.75	24.25	22.5	20.5	15.5	9.5	4.5
36.5	36.5	36.5	32	27.25	25.5	24.75	23.25	21.75	20.5	15.5	9.5	4.5
37.75	37.75	37.75	36.25	32.25	29.5	27.5	25	22.75	20.5	15.5	9.5	4.5
38.75	38.75	38.75	38.75	34.25	31	28.75	26.25	23.75	21.75	16.75	10.75	5.75
38.75	38.75	38.75	38.75	34.5	31.75	29.5	26.75	23.75	21.75	16.75	10.75	5.75
38.75	38.75	38.75	38.75	34.5	31.75	29.5	26.75	23.75	21.75	16.75	10.75	5.75
38.75	38.75	38.75	38.75	34.5	31.75	29.5	26.75	23.75	21.75	16.75	10.75	5.75
38.75	38.75	38.75	38.75	34.5	31.75	29.5	26.75	23.75	21.75	16.75	10.75	5.75
