"<DEL>","#1"
"<CLEAR>","#0"
"A","72946"
"A","72964"
"A","7295"
"A","92746"
"A","92764"
"A","9275"
"B","1713497"
"B","1713597"
"B","1723598"
"C","3179"
"C","9713"
"D","171397"
"D","17167"
"D","172398"
"D","17268"
"E","134579"
"E","134679"
"E","17134579"
"E","17134679"
"E","137945"
"E","137946"
"E","791345"
"E","791346"
"E","794513"
"E","794613"
"E","317945"
"E","317946"
"F","171345"
"F","171346"
"F","174513"
"F","174613"
"F","71345"
"F","71346"
"G","31796"
"G","2486"
"H","174639"
"H","174693"
"H","173946"
"H","179346"
"H","173964"
"H","179364"
"H","17935"
"H","17395"
"H","461739"
"H","461793"
"I","28"
"I","82"
"I","137928"
"I","791328"
"J","287"
"J","13287"
"J","397"
"K","4349"
"K","5359"
"K","174349"
"K","175359"
"L","179"
"L","178"
"M","71839"
"M","71539"
"N","7193"
"N","17193"
"N","171939"
"O","97139"
"O","71397"
"O","13971"
"O","39713"
"O","93179"
"O","79317"
"O","17931"
"O","31793"
"P","17364"
"P","17365"
"P","171364"
"P","171365"
"Q","971399"
"Q","713979"
"O","139719"
"O","397139"
"O","931799"
"O","793179"
"O","179319"
"O","317939"
"R","171349"
"R","171348"
"R","171359"
"R","711349"
"R","711348"
"R","711359"
"S","3197"
"S","7913"
"S","2187"
"S","7812"
"T","1328"
"T","1358"
"T","2813"
"U","1793"
"V","183"
"W","17293"
"W","17593"
"X","1973"
"X","1937"
"X","7319"
"X","3719"
"Y","1535"
"Y","15355"
"Y","1537"
"Y","1538"
"Z","1379"
"Z","1278"
"a","5479"
"a","54758"
"a","2146"
"a","21425"
"b","17587"
"b","1785"
"c","5478"
"c","8745"
"c","2145"
"c","5412"
"d","5472"
"d","8472"
"d","2874"
"d","2847"
"e","4548"
"e","45478"
"e","1215"
"e","12145"
"e","42145"
"e","75478"
"e","4218"
"e","4518"
"f","274"
"f","724"
"f","2174"
"f","7124"
"g","54787"
"g","21457"
"h","1758"
"i","471"
"i","474"
"j","4771"
"j","4774"
"j","572"
"j","575"
"k","17578"
"k","17548"
"l","17"
"m","74859"
"m","75869"
"m","74869"
"m","41526"
"m","42536"
"m","41536"
"n","758"
"n","748"
"n","415"
"n","425"
"o","87458"
"o","74587"
"o","45874"
"o","58745"
"o","85478"
"o","78547"
"o","47854"
"o","54785"
"p","47758"
"p","1725"
"q","54788"
"q","2148"
"q","21458"
"r","475"
"r","142"
"s","5487"
"s","7845"
"s","2154"
"s","4512"
"t","174"
"t","171"
"t","285"
"t","282"
"u","4785"
"u","1452"
"v","486"
"v","485"
"v","153"
"v","152"
"w","47586"
"w","48596"
"w","47596"
"w","14253"
"w","15263"
"w","14263"
"x","4875"
"x","4857"
"x","7548"
"x","5748"
"x","1542"
"x","1524"
"x","4215"
"x","2415"
"y","4757"
