
*****  DB2MOVE  *****

Action:      EXPORT

Start time:  Thu Apr 03 18:29:49 2003

Server: DB2 Common Server V7.2.0

EXPORT:      3 rows from table "ADMINISTRATOR"."FACULTY"
EXPORT:      4 rows from table "ADMINISTRATOR"."DEPARTMENT"
EXPORT:      4 rows from table "ADMINISTRATOR"."MAJOR"
EXPORT:      2 rows from table "ADMINISTRATOR"."MINOR"
EXPORT:      1 rows from table "ADMINISTRATOR"."REGISTRAR"
EXPORT:      5 rows from table "ADMINISTRATOR"."TIME_SCHEDULE"
EXPORT:      9 rows from table "ADMINISTRATOR"."SUBJECT"
EXPORT:     10 rows from table "ADMINISTRATOR"."REGISTER"
EXPORT:      9 rows from table "ADMINISTRATOR"."SECTION"
EXPORT:      3 rows from table "ADMINISTRATOR"."STUDENT"
EXPORT:     11 rows from table "ADMINISTRATOR"."GRADE"
EXPORT:      2 rows from table "ADMINISTRATOR"."LECTURER"
EXPORT:      1 rows from table "ADMINISTRATOR"."PREREQUISITE"
EXPORT:      8 rows from table "ADMINISTRATOR"."TEACH"
EXPORT:      2 rows from table "ADMINISTRATOR"."THESIS"
EXPORT:      0 rows from table "ADMINISTRATOR"."SUPERVISE"
EXPORT:     13 rows from table "ADMINISTRATOR"."COST"
EXPORT:      2 rows from table "ADMINISTRATOR"."COURSE"
EXPORT:      4 rows from table "ADMINISTRATOR"."SUBCOURSE"
EXPORT:      4 rows from table "ADMINISTRATOR"."COURSEWORK"
EXPORT:      4 rows from table "ADMINISTRATOR"."TABLE1"
EXPORT:      2 rows from table "ADMINISTRATOR"."TABLE2"
EXPORT:      2 rows from table "ADMINISTRATOR"."EXAMTHESIS"

End time:  Thu Apr 03 18:29:57 2003
