
*****  DB2MOVE  *****

Action:      EXPORT

Start time:  Sun Apr 18 18:58:40 2004

Server: DB2 Common Server V8.1.0

EXPORT:      3 rows from table "ADMINISTRATOR"."COURSESTRUCTURE"
EXPORT:     21 rows from table "ADMINISTRATOR"."COST"
EXPORT:      7 rows from table "ADMINISTRATOR"."DEGREE"
EXPORT:      8 rows from table "ADMINISTRATOR"."COURSEUNIT"
EXPORT:      0 rows from table "ADMINISTRATOR"."DEBT"
EXPORT:      2 rows from table "ADMINISTRATOR"."DEPARTMENT"
EXPORT:      2 rows from table "ADMINISTRATOR"."FACULTY"
EXPORT:      1 rows from table "ADMINISTRATOR"."LOCATION"
EXPORT:      1 rows from table "ADMINISTRATOR"."MAJOR"
EXPORT:      0 rows from table "ADMINISTRATOR"."MINOR"
EXPORT:      1 rows from table "ADMINISTRATOR"."OCCUPATION"
EXPORT:      0 rows from table "ADMINISTRATOR"."PAYMENT"
EXPORT:      0 rows from table "ADMINISTRATOR"."PLAN"
EXPORT:      4 rows from table "ADMINISTRATOR"."PRENAME"
EXPORT:     10 rows from table "ADMINISTRATOR"."PREREQUISITE"
EXPORT:      1 rows from table "ADMINISTRATOR"."PROFESSOR"
EXPORT:      9 rows from table "ADMINISTRATOR"."REGISTERTYPE"
EXPORT:      2 rows from table "ADMINISTRATOR"."REGISTRAR"
EXPORT:      3 rows from table "ADMINISTRATOR"."REGISTRATION"
EXPORT:      0 rows from table "ADMINISTRATOR"."SCHEDULE"
EXPORT:      0 rows from table "ADMINISTRATOR"."SCHOLAR"
EXPORT:      0 rows from table "ADMINISTRATOR"."SCHOLARSHIP"
EXPORT:      1 rows from table "ADMINISTRATOR"."SCHOLARSHIPGROUP"
EXPORT:      9 rows from table "ADMINISTRATOR"."SECTION"
EXPORT:      2 rows from table "ADMINISTRATOR"."SEMESTER"
EXPORT:      2 rows from table "ADMINISTRATOR"."STUDENT"
EXPORT:      9 rows from table "ADMINISTRATOR"."SUBJECT"
EXPORT:      8 rows from table "ADMINISTRATOR"."SUBJECTGROUP"
EXPORT:      2 rows from table "ADMINISTRATOR"."SUPPORT"
EXPORT:      0 rows from table "ADMINISTRATOR"."TEACH"
EXPORT:      0 rows from table "ADMINISTRATOR"."THESIS"
EXPORT:      0 rows from table "ADMINISTRATOR"."THESISPROFESSOR"
EXPORT:     18 rows from table "ADMINISTRATOR"."APPOINTMENT"

End time:  Sun Apr 18 18:58:45 2004
